population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
471,223,13785.0,62000.0,279,279,34.7632664,-79.4535307,53.0
2411,864,48167.0,125600.0,898,898,35.3384521,-80.3098694,35.0
2667,1035,66696.0,159500.0,1130,1130,35.286455600000004,-80.3943582,27.0
1997,910,53409.0,158300.0,910,910,35.2599263,-80.44147009999999,29.0
2332,856,67035.0,171300.0,963,963,35.2080999,-80.4060166,32.0
807,339,39081.0,147300.0,344,344,35.2758287,-80.3215065,39.0
1593,640,50299.0,119500.0,871,871,35.2035441,-80.32782009999998,43.0
670,316,60469.0,156900.0,353,353,35.234399100000005,-80.2960424,48.0
1012,349,41292.0,114300.0,396,396,35.2504784,-80.23902059999999,25.0
1406,645,42730.0,115900.0,686,686,35.2059194,-80.2014209,31.0
1718,653,52063.0,133500.0,761,761,35.3108397,-80.13485250000001,50.0
859,411,59338.0,253600.0,570,570,35.272127399999995,-80.1382005,42.0
1102,402,44688.0,88800.0,706,706,35.232866200000004,-80.1106552,55.0
720,288,73472.0,83700.0,337,337,35.196225,-80.1342757,56.0
549,194,35755.0,,263,263,35.356049,-80.19918220000001,63.0
985,434,59500.0,180800.0,453,453,35.3667333,-80.18781779999999,43.0
1159,406,,,406,406,35.3481576,-80.17470429999999,50.0
862,358,46622.0,106800.0,469,469,35.344297600000004,-80.190611,56.0
621,286,50500.0,110300.0,336,336,35.3572282,-80.1909577,66.0
1477,648,45388.0,143000.0,850,850,35.3334145,-80.24265550000001,38.0
1100,324,43065.0,63900.0,392,392,35.3484381,-80.22236009999999,67.0
586,233,36620.0,105800.0,254,254,35.3427057,-80.20943759999999,58.0
1048,360,62500.0,113900.0,404,404,35.4649593,-80.24679880000001,40.0
2227,835,63003.0,158800.0,987,987,35.418424,-80.3009991,44.0
1067,441,44013.0,126400.0,571,571,35.4552279,-80.1586686,25.0
1294,488,74259.0,110200.0,645,645,35.4240744,-80.1728833,48.0
1985,832,57945.0,145800.0,895,895,35.3668413,-80.0832621,28.0
1025,405,47109.0,89100.0,489,489,35.4078461,-80.10719540000001,2018.0
1079,456,48289.0,96700.0,527,527,35.3944327,-80.1922017,59.0
1111,450,63125.0,121600.0,496,496,35.3933559,-80.206749,54.0
1633,621,41354.0,143800.0,731,731,35.379256700000006,-80.24115920000001,61.0
1296,432,29853.0,77800.0,491,491,35.3574275,-80.21005759999998,71.0
1173,530,59063.0,206200.0,565,565,35.3515599,-80.3621108,30.0
1266,306,39808.0,144600.0,360,360,35.490479799999996,-80.2650661,49.0
1510,533,43533.0,126500.0,598,598,35.439649200000005,-80.2182927,41.0
1519,364,40357.0,112300.0,475,475,35.403456799999994,-80.1443975,47.0
1672,596,65192.0,140900.0,669,669,35.377151700000006,-80.1705023,32.0
487,286,42333.0,69300.0,368,368,35.3765312,-80.2105263,68.0
2411,885,58713.0,150900.0,956,956,35.1975217,-80.4570073,29.0
1675,562,50972.0,153400.0,624,624,35.290856299999994,-80.27704250000001,34.0
